035	Studio Ghibli storybook anime	studio-ghibli-storybook-anime	Anime and manga	Soft watercolor environments, expressive faces, natural light, lived-in fantasy.
036	Neon Genesis Evangelion techno-anime	neon-genesis-evangelion-techno-anime	Anime and manga	Tall biomechanical forms, warning graphics, purple-green contrast, severe perspective.
037	One Piece pirate manga	one-piece-pirate-manga	Anime and manga	Extreme body shapes, huge expressions, loose ink energy, colorful nautical fantasy.
038	Naruto ninja anime	naruto-ninja-anime	Anime and manga	Graphic costumes, elemental effects, speed-line combat, cel-shaded landscapes.
039	JoJo's Bizarre Adventure	jojos-bizarre-adventure	Anime and manga	Fashion-model poses, sculpted anatomy, ornate costumes, surreal palette shifts.
040	Junji Ito manga horror	junji-ito-manga-horror	Anime and manga	Fine black crosshatching, distorted anatomy, spirals, obsessive monochrome detail.
041	Original Star Wars painted poster	original-star-wars-painted-poster	Film and television	Heroic triangular composition, airbrushed faces, glowing weapons, cosmic backdrop.
042	Blade Runner neon noir	blade-runner-neon-noir	Film and television	Rain, smoky interiors, electric signage, cyan-red reflections, dense future city.
043	Miami Vice pastel crime drama	miami-vice-pastel-crime-drama	Film and television	White fashion, pink-blue sunsets, sports-car gloss, coastal night photography.
044	Gothic stop-motion fantasy	gothic-stop-motion-fantasy	Film and television	Long limbs, striped clothing, crooked architecture, moonlit tactile puppet surfaces.
045	Symmetrical pastel storybook cinema	symmetrical-pastel-storybook-cinema	Film and television	Centered framing, curated props, restrained expression, coordinated colors.
046	The Matrix digital dystopia	the-matrix-digital-dystopia	Film and television	Green code, black leather, frozen-action pose, fluorescent industrial lighting.
047	1980s dark-fantasy VHS cover	1980s-dark-fantasy-vhs-cover	Film and television	Airbrushed warriors, lightning, glowing castles, worn videocassette print texture.
048	Stranger Things retro horror poster	stranger-things-retro-horror-poster	Film and television	Painted faces, red storm clouds, bicycles, supernatural backlighting.
049	Twin Peaks surreal Americana	twin-peaks-surreal-americana	Film and television	Red curtains, dark woods, diner interiors, dreamlike portrait lighting.
050	Barbie plastic-pink fantasy	barbie-plastic-pink-fantasy	Film and television	Hot pink sets, toy-like surfaces, immaculate lighting, cheerful posing.
051	Absolut Vodka print campaign	absolut-vodka-print-campaign	Advertising and campaigns	Centered iconic silhouette, clever environmental transformation, minimal caption.
052	Got Milk celebrity portrait	got-milk-celebrity-portrait	Advertising and campaigns	Dramatic studio portrait, white milk-mustache gag, sparse copy.
053	Apple Think Different	apple-think-different	Advertising and campaigns	Black-and-white cultural portrait, generous white border, tiny color accent.
054	Apple iPod silhouettes	apple-ipod-silhouettes	Advertising and campaigns	Flat black dancing figure, bright solid background, white accessory lines.
055	Nike Just Do It	nike-just-do-it	Advertising and campaigns	High-contrast athletic photography, kinetic crop, sparse motivational typography.
056	Benetton shock advertising	benetton-shock-advertising	Advertising and campaigns	Editorial documentary photograph, socially charged staging, blunt realism.
057	California Raisins clay animation	california-raisins-clay-animation	Advertising and campaigns	Lumpy purple clay bodies, white gloves, expressive faces, Motown stage pose.
058	Energizer Bunny	energizer-bunny	Advertising and campaigns	Pink toy mascot, sunglasses, blue accents, oversized drum, chaotic demo setting.
059	Coca-Cola polar bears	coca-cola-polar-bears	Advertising and campaigns	Soft white fur, icy blue night, selective red accents, sentimental warmth.
060	Red Bull line-drawn commercials	red-bull-line-drawn-commercials	Advertising and campaigns	Loose black outlines, pale color washes, elongated noses, visual punchline.
061	M&M's character advertising	m-and-ms-character-advertising	Advertising and campaigns	Glossy candy-like body, white gloves, dimensional studio set, personality pose.
062	Old Spice absurdist commercial	old-spice-absurdist-commercial	Advertising and campaigns	Hyper-clean hero lighting, impossible scene logic, macho visual parody.
063	Dos Equis Most Interesting Man	dos-equis-most-interesting-man	Advertising and campaigns	Sophisticated adventurer portrait, amber bar lighting, luxury travel cues.
064	Skittles surreal advertising	skittles-surreal-advertising	Advertising and campaigns	Ordinary suburbia interrupted by absurd rainbow consequences.
065	Mountain Dew extreme sports	mountain-dew-extreme-sports	Advertising and campaigns	Acid green, wide-angle distortion, flying debris, adolescent action energy.
066	Taco Bell Chihuahua era	taco-bell-chihuahua-era	Advertising and campaigns	Tiny mascot as deadpan spokesperson, warm food photography, 1990s polish.
067	Burger King masked king	burger-king-masked-king	Advertising and campaigns	Fixed smiling royal mascot head, velvet costume, awkward real-world staging.
068	Progressive white-box commercials	progressive-white-box-commercials	Advertising and campaigns	Pure white retail environment, blue accents, bright lighting, ensemble comedy.
069	Sony Bravia color campaign	sony-bravia-color-campaign	Advertising and campaigns	Real urban environment flooded with thousands of bright color objects.
070	Cadbury Gorilla commercial	cadbury-gorilla-commercial	Advertising and campaigns	Purple studio atmosphere, solemn close-up, unexpected animal performance.
071	1980s MTV station ident	1980s-mtv-station-ident	Music, fashion, and youth culture	Transforming graphic emblem, collage animation, fluorescent broadcast graphics.
072	Hip-hop graffiti flyer	hip-hop-graffiti-flyer	Music, fashion, and youth culture	Spray-painted lettering, boom boxes, breakdance pose, brick-wall texture.
073	Punk photocopied zine	punk-photocopied-zine	Music, fashion, and youth culture	Torn photos, ransom typography, black toner noise, handwritten marks.
074	1990s grunge album art	1990s-grunge-album-art	Music, fashion, and youth culture	Distressed type, muddy photography, scratched textures, photocopied layers.
075	Synthwave album cover	synthwave-album-cover	Music, fashion, and youth culture	Neon grid, magenta sunset, chrome title, sports-car cues, distant mountains.
076	Vaporwave	vaporwave	Music, fashion, and youth culture	Classical busts, Japanese type cues, checkerboard floors, pink-cyan gradients.
077	1970s disco record sleeve	1970s-disco-record-sleeve	Music, fashion, and youth culture	Mirrored surfaces, starbursts, glamorous posing, gold-purple club lighting.
078	1980s hair-metal airbrush	1980s-hair-metal-airbrush	Music, fashion, and youth culture	Chrome lettering, leather, flames, lightning, fantasy pinup drama.
079	1990s rave flyer	1990s-rave-flyer	Music, fashion, and youth culture	Warped type, fractals, aliens, fluorescent gradients, dense layering.
080	K-pop candy editorial	k-pop-candy-editorial	Music, fashion, and youth culture	Coordinated fashion, spotless colored sets, glossy portrait finish, cute props.
081	8-bit NES sprite art	8-bit-nes-sprite-art	Video games and digital culture	Tiny pixel grid, limited palette, hard-edged forms, simplified silhouette.
082	16-bit SNES pixel art	16-bit-snes-pixel-art	Video games and digital culture	Richer pixel shading, colorful environment, animated highlights, action pose.
083	1980s arcade cabinet art	1980s-arcade-cabinet-art	Video games and digital culture	Painted explosions, exaggerated heroes, glowing logo space, action montage.
084	PlayStation 1 low-poly	playstation-1-low-poly	Video games and digital culture	Angular model, warped pixel texture, vertex lighting, foggy early-3D setting.
085	Dreamcast-era Y2K 3D	dreamcast-era-y2k-3d	Video games and digital culture	Bright plastic surfaces, rounded future architecture, cyan-orange optimism.
086	Grand Theft Auto loading illustration	grand-theft-auto-loading-illustration	Video games and digital culture	Black contour lines, posterized shading, segmented character montage.
087	Street Fighter II portrait art	street-fighter-ii-portrait-art	Video games and digital culture	Muscular fighter anatomy, painted arcade shading, dramatic fist, world-stage motifs.
088	Mortal Kombat digitized fighter	mortal-kombat-digitized-fighter	Video games and digital culture	Photographic sprite appearance, dark arena, theatrical martial-arts stance.
089	Fortnite promotional 3D	fortnite-promotional-3d	Video games and digital culture	Stylized proportions, clean materials, saturated light, action ensemble.
090	Minecraft voxel character	minecraft-voxel-character	Video games and digital culture	Cubic anatomy, pixel textures, block-built environment, square lighting.
091	Y2K chrome futurism	y2k-chrome-futurism	Internet-era and current graphics	Liquid chrome type, translucent plastic, lens flares, icy blue and pink.
092	Frutiger Aero	frutiger-aero	Internet-era and current graphics	Blue skies, green grass, bubbles, glassy interfaces, optimistic eco-technology.
093	Early iOS skeuomorphism	early-ios-skeuomorphism	Internet-era and current graphics	Leather, felt, polished glass buttons, realistic shadows, tactile framing.
094	Corporate flat illustration	corporate-flat-illustration	Internet-era and current graphics	Abstract people, elongated limbs, flat vector shapes, friendly technology palette.
095	Brutalist web graphic	brutalist-web-graphic	Internet-era and current graphics	Huge default typography, raw grid, clashing color, exposed interface structure.
096	3D clay icon aesthetic	3d-clay-icon-aesthetic	Internet-era and current graphics	Soft rounded objects, matte pastel material, miniature diorama lighting.
097	Sticker-bomb maximalism	sticker-bomb-maximalism	Internet-era and current graphics	Layered decals, doodles, mascots, slogans, mismatched outlines and textures.
098	Brat lime-green minimalism	brat-lime-green-minimalism	Internet-era and current graphics	Acid lime-green field, blurry lowercase typography, deliberately plain composition.
099	2020s retro-food rebrand	2020s-retro-food-rebrand	Internet-era and current graphics	Rounded 1970s lettering, warm browns and oranges, flat mascot graphics.
100	AI surreal gloss	ai-surreal-gloss	Internet-era and current graphics	Impossibly smooth materials, dreamlike object combinations, cinematic glow.
